% Model:              sin_rho_nogr_iter1_epsilon3_revised.mph
% Version:            COMSOL 6.0.0.318
% Date:               Feb 27 2024, 02:42
% Dimension:          2
% Nodes:              43229
% Expressions:        1
% Description:        Surface
% cpl5x                   cpl5y                    Electric potential
3.3359218168949567E-8     4.000000000000001E-8     0
3.4401693856442865E-8     3.8917173979582456E-8    0
3.3984703581445546E-8     3.8917173979582456E-8    0
3.41931987189442E-8       3.855623197277662E-8     0
3.461018899394153E-8      3.855623197277662E-8     0
3.5044091150526634E-8     3.7821184448113395E-8    0
3.4818684131440185E-8     3.8195289965970774E-8    0
3.461018899394152E-8      3.783434795916493E-8     0
3.440169385644286E-8      3.8195289965970774E-8    0
3.8917173979582456E-8     3.440170151811579E-8     0
3.8917173979582456E-8     3.398471124311847E-8     0
3.855623197277662E-8      3.4193206380617133E-8    0
3.855623197277661E-8      3.4610196655614446E-8    0
3.819528996597076E-8      3.48186917931131E-8      0
3.819528996597077E-8      3.4401701518115787E-8    0
3.783434795916492E-8      3.461019665561444E-8     0
3.783434795916491E-8      3.5027186930611766E-8    0
3.5426799887003336E-8     3.709099882473165E-8     0
3.524012859820114E-8      3.7452145421113276E-8    0
3.5002263889290533E-8     3.70962699051647E-8      0
3.4806226441616026E-8     3.746530893216482E-8     0
3.747325192909288E-8      3.5236736230012156E-8    0
3.709439753140105E-8      3.544315878325351E-8     0
3.711215589902085E-8      3.5029295254415227E-8    0
3.747325192909288E-8      3.481974595501483E-8     0
3.562896750359167E-8      3.672466319097745E-8     0
3.58580569494413E-8       3.633434798915463E-8     0
3.5406599122467195E-8     3.636359863765629E-8     0
3.5204431505878864E-8     3.672993427141049E-8     0
3.6743490533169194E-8     3.565051488758169E-8     0
3.6761248900789E-8        3.5236651358743405E-8    0
3.641034190255714E-8      3.5444007463071584E-8    0
3.635992833948628E-8      3.587455240186227E-8     0
3.604382145420849E-8      3.600930550452675E-8     0
3.5592363627234375E-8     3.603855615302841E-8     0
3.5778128132001554E-8     3.5713513668400526E-8    0
3.609423501727935E-8      3.557876056573605E-8     0
3.92781159863883E-8       3.335922583062249E-8     0
3.963905799319416E-8      3.315073069312383E-8     0
3.92781159863883E-8       3.294223555562517E-8     0
4.0E-8                    3.294223555562516E-8     0
3.963905799319415E-8      3.27337404181265E-8      0
4.0E-8                    3.2525245280627836E-8    0
3.335921816894956E-8      3.92781159863883E-8      0
3.31507230314509E-8       3.963905799319416E-8     0
3.2942227893952234E-8     3.92781159863883E-8      0
3.294222789395224E-8      4.0E-8                   0
3.2733732756453574E-8     3.9639057993194144E-8    0
3.252523761895491E-8      3.9999999999999994E-8    0
3.8917173979582456E-8     3.356772096812114E-8     0
3.8917173979582456E-8     3.315073069312383E-8     0
3.855623197277662E-8      3.335922583062249E-8     0
3.855623197277662E-8      3.377621610561981E-8     0
3.3567713306448226E-8     3.8917173979582456E-8    0
3.31507230314509E-8       3.8917173979582456E-8    0
3.3359218168949567E-8     3.8556231972776605E-8    0
3.377620844394688E-8      3.855623197277661E-8     0
3.3984703581445546E-8     3.819528996597077E-8     0
3.3567713306448226E-8     3.819528996597076E-8     0
3.377620844394689E-8      3.783434795916492E-8     0
3.4193198718944206E-8     3.7834347959164924E-8    0
3.440169385644286E-8      3.747340595235908E-8     0
3.3984703581445546E-8     3.747340595235908E-8     0
3.41931987189442E-8       3.7112463945553236E-8    0
3.4597731304117366E-8     3.710436692535897E-8     0
3.783434795916492E-8      3.419320638061712E-8     0
3.819528996597077E-8      3.398471124311847E-8     0
3.783434795916492E-8      3.37762161056198E-8      0
3.819528996597077E-8      3.356772096812114E-8     0
3.7112309922287044E-8     3.461125081751618E-8     0
3.747340595235908E-8      3.4401701518115787E-8    0
3.7112463945553236E-8     3.4193206380617133E-8    0
3.747340595235908E-8      3.398471124311847E-8     0
3.500116461624897E-8      3.6351100040972656E-8    0
3.479899699966064E-8      3.671743567472686E-8     0
3.459573011003074E-8      3.6338601444289024E-8    0
3.439446441448747E-8      3.672553269492113E-8     0
3.641159159274656E-8      3.5022810052705806E-8    0
3.676249859097841E-8      3.481545394837763E-8     0
3.641284128293597E-8      3.460161264234003E-8     0
3.676265261424461E-8      3.4397409511478584E-8    0
3.4808204087741114E-8     3.5943353308845686E-8    0
3.521363859395934E-8      3.595585190552932E-8     0
3.502067806545149E-8      3.554810517340235E-8     0
3.5399403098726525E-8     3.5630809420901437E-8    0
3.605992870744734E-8      3.523645677057934E-8     0
3.606117839763676E-8      3.481525936021357E-8     0
3.570951551233755E-8      3.5028906078087106E-8    0
3.574382182216955E-8      3.5371209873243816E-8    0
3.5365096788894515E-8     3.5288505625744726E-8    0
3.92781159863883E-8       3.2525245280627836E-8    0
3.963905799319415E-8      3.231675014312917E-8     0
3.92781159863883E-8       3.210825500563051E-8     0
4.0E-8                    3.21082550056305E-8      0
3.9639057993194144E-8     3.1899759868131844E-8    0
3.9999999999999994E-8     3.169126473063318E-8     0
3.252523761895491E-8      3.92781159863883E-8      0
3.231674248145624E-8      3.9639057993194144E-8    0
3.210824734395758E-8      3.92781159863883E-8      0
3.210824734395758E-8      4.0E-8                   0
3.189975220645892E-8      3.963905799319415E-8     0
3.1691257068960256E-8     4.0E-8                   0
3.8917173979582456E-8     3.27337404181265E-8      0
3.8917173979582456E-8     3.231675014312917E-8     0
3.855623197277662E-8      3.2525245280627836E-8    0
3.855623197277662E-8      3.294223555562516E-8     0
3.2733732756453574E-8     3.8917173979582456E-8    0
3.231674248145624E-8      3.8917173979582456E-8    0
3.252523761895491E-8      3.8556231972776605E-8    0
3.294222789395224E-8      3.8556231972776605E-8    0
3.783434795916492E-8      3.3359225830622475E-8    0
3.819528996597077E-8      3.3150730693123815E-8    0
3.783434795916492E-8      3.294223555562514E-8     0
3.819528996597077E-8      3.273374041812649E-8     0
3.2733732756453574E-8     3.8195289965970754E-8    0
3.31507230314509E-8       3.8195289965970754E-8    0
3.2942227893952234E-8     3.7834347959164904E-8    0
3.335921816894956E-8      3.783434795916491E-8     0
3.377620844394689E-8      3.711246394555322E-8     0
3.356771330644824E-8      3.7473405952359066E-8    0
3.3359218168949587E-8     3.7112463945553216E-8    0
3.315072303145091E-8      3.747340595235906E-8     0
3.417623772145274E-8      3.6357860327038556E-8    0
3.397497202590947E-8      3.674479157767066E-8     0
3.375674533287475E-8      3.637711920978809E-8     0
3.3557981750912164E-8     3.674479157767065E-8     0
3.7112463945553236E-8     3.377621610561981E-8     0
3.747340595235908E-8      3.356772096812114E-8     0
3.7112463945553236E-8     3.335922583062249E-8     0
3.747340595235908E-8      3.3150730693123815E-8    0
3.675152193874739E-8      3.3984711243118474E-8    0
3.675152193874739E-8      3.3567720968121154E-8    0
3.639057993194155E-8      3.3776216105619814E-8    0
3.6401710607438763E-8     3.418891437397992E-8     0
3.395254030337269E-8      3.601512980227233E-8     0
3.4372032691950686E-8     3.59958709195228E-8      0
3.4148335273870633E-8     3.5653140394756575E-8    0
3.458450666966106E-8      3.560062278407946E-8     0
3.571090962715025E-8      3.461945990344396E-8     0
3.606257251244946E-8      3.440581318557043E-8     0
3.5712303741962953E-8     3.421001372880083E-8     0
3.605144183695225E-8      3.3993114917210324E-8    0
3.427769187233731E-8      3.5337658564620144E-8    0
3.471386326812774E-8      3.528514095394303E-8     0
3.440704847080399E-8      3.502217673448372E-8     0
3.502414433386463E-8      3.5091779695081086E-8    0
3.471732953654088E-8      3.4828815475621776E-8    0
3.502761060227778E-8      3.463545421675983E-8     0
3.536856305730766E-8      3.483218014742347E-8     0
3.5369957172120365E-8     3.442273397278033E-8     0
3.1691257068960256E-8     3.92781159863883E-8      0
3.148276193146159E-8      3.963905799319415E-8     0
3.127426679396292E-8      3.92781159863883E-8      0
3.127426679396293E-8      4.0E-8                   0
3.1065771656464264E-8     3.963905799319415E-8     0
3.0857276518965604E-8     4.0E-8                   0
3.92781159863883E-8       3.1691264730633184E-8    0
3.9639057993194144E-8     3.148276959313452E-8     0
3.92781159863883E-8       3.127427445563585E-8     0
3.9639057993194144E-8     3.1065779318137185E-8    0
3.9999999999999994E-8     3.127427445563585E-8     0
3.9999999999999994E-8     3.0857284180638525E-8    0
3.8917173979582456E-8     3.189975986813186E-8     0
3.8917173979582456E-8     3.148276959313453E-8     0
3.8556231972776605E-8     3.1691264730633204E-8    0
